"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","asterix"
"2018-08-07 12:33:43",6,18,8,7,12,33,43,"hex12",401678061,6,26,26,1,1,-4490164,2132140,247,256,"ADDE350A0CC801997D61583A50D100A4623A2191243775054CED5A5902AE577E","7A"
"2018-08-07 12:49:13",2,18,8,7,12,49,13,NA,401678008,6,95,95,-121,-121,-4486894,2131039,247,256,"13B98A2A0D12FB873D238EAF48A27A3C2D76A258F4811B1D1B95E8E3A1580000","72"
"2018-08-07 12:49:16",0,18,8,7,12,49,16,"hex13",401677983,6,96,96,-119,-119,-4486886,2131035,89,256,"35DFBF3A0D4802198233BFFFFB325C562105A26015E21459D4119D415D8233B8","48"
"2018-08-07 12:49:32",0,18,8,7,12,49,32,"hex13",401678045,7,98,97,-124,15,-4486841,2131017,89,256,"35D79D7A0D0801183C3C3E25C1A21822A5C277FFBBBFFFB2E5826A11221C9A24","58"
"2018-08-07 12:49:48",2,18,8,7,12,49,48,NA,401677931,7,96,96,-120,35,-4486796,2131000,85,256,"13B98A2A0D12FB873D238EAF48A27A3C2D76A258F4811B1D1B95E8E3A1580000","52"
"2018-08-07 12:50:03",2,18,8,7,12,50,3,NA,401678035,7,93,95,-123,15,-4486757,2130981,83,256,"13B98A2A0D12FB873D238EAF48A27A3C2D76A258F4811B1D1B95E64F40AFE22C","69"
"2018-08-07 12:50:06",0,18,8,7,12,50,6,"hex13",401678009,7,87,93,-129,34,-4486750,2130977,80,256,"35D89D9A0E48011833BFFFFFF7251982260C44026A10400A69C0440404044130","13"
"2018-08-07 12:50:22",2,18,8,7,12,50,22,NA,401677970,7,110,100,-116,19,-4486708,2130959,89,256,"13B98A2A0D12FB873D238EAF48A27A3C2D76A258F4811B1D1B95E8E3A1580000","56"
"2018-08-07 12:50:39",0,18,8,7,12,50,39,"hex13",401677882,7,97,93,-125,32,-4486655,2130942,87,192,"35049D68CCA8022631F7D4DFE9662897FD44040305417FC0","58"
"2018-08-07 12:50:44",2,18,8,7,12,50,44,NA,401677960,7,95,101,-117,21,-4486642,2130936,87,256,"13B98A2A0D12FB873D238EAF48A27A3C2D76A258F4811B1D1B95E8E3A1580000","68"
"2018-08-07 12:57:18",6,18,8,7,12,57,18,"hex12",401677936,7,311,314,-119,-119,-4486880,2130110,52,256,"ADD1867A0C4801DAB77B77729C1548480410D73BBBFFFF654D948D9D01154450","30"
"2018-08-07 12:57:34",6,18,8,7,12,57,34,"hex12",401677895,7,311,311,-118,-118,-4486888,2130088,38,256,"ADD486CA0C0800F91226181E614142FBBBBFFB729C150277FB7729861C5A20C0","39"
"2018-08-07 12:57:49",6,18,8,7,12,57,49,"hex12",401677942,7,302,309,-123,-123,-4486894,2130069,34,256,"ADD5647A0B48068A1A529B36A9D0333946ADBEDB52792B99675D32B34CE04237","33"
"2018-08-07 12:58:11",6,18,8,7,12,58,11,"hex12",401677965,7,297,298,-123,-123,-4486906,2130039,33,256,"ADDCF30A0E8801FB7FFFBB72A08810C4D508999019E141A2181F3BBBBFBB7728","39"
