ID,Date,Longitude,Latitude,Tag type,Programming
Tag01,2014-05-15,-74.78,35.55,SPLASH10,dive summary and time-series
Tag02,2014-09-16,-74.71,35.66,SPLASH10,dive summary and time-series
Tag03,2015-06-14,-74.74,35.6,SPLASH10,dive summary and time-series
Tag04,2015-06-14,-74.69,35.63,SPLASH10,dive summary and time-series
Tag05,2015-10-15,-74.77,35.61,SPLASH10,dive summary and time-series
Tag06,2015-10-21,-74.75,35.62,SPLASH10,dive summary and time-series
Tag07,2016-05-27,-74.74,35.59,SPLASH10,dive summary and time-series
Tag08,2016-08-21,-74.69,35.61,SPLASH10,dive summary and time-series
Tag09,2018-05-24,-74.78,35.69,SPLASH10,time-series only 
Tag10,2018-08-05,-74.78,35.73,SPLASH10,time-series only 
Tag11,2018-08-05,-74.78,35.72,SPLASH10,time-series only 
Tag12,2018-08-05,-74.75,35.55,SPLASH10,time-series only 
Tag13,2018-08-06,-74.78,35.48,SPLASH10,time-series only 
Tag14,2018-08-07,-74.78,35.57,SPLASH10,time-series only 
Tag15,2018-08-07,-74.78,35.56,SPLASH10,time-series only 
Tag16,2018-08-07,-74.75,35.59,SPLASH10,time-series only
Tag17,2019-07-30,-74.73,35.54,SPLASH10,time-series only
Tag18,2019-08-06,-74.75,35.58,DTAG,
